cpu,ram,battery,plugged,processes,net_sent,net_recv,top_cpu,context,drain
3.7,83.0,100,1,312,3019,6320,0,browsing,0.0
5.5,88.4,100,1,318,2059743,30384147,1344.5,browsing,0.0
4.4,87.6,100,1,315,689509,25582006,1502.1,browsing,0.0
16.7,87.4,100,0,317,1318438,52862640,1430.8,browsing,0.0
4.1,85.6,100,0,317,816939,25123118,1345.4,browsing,0.0
5.9,85.2,100,0,317,487131,13920672,1440.7,browsing,0.0
15.2,73.8,100,0,314,534731,10803133,1421.2,gaming,0.0
15.5,72.6,100,0,307,206915,786893,1486.9,gaming,0.0
7.5,82.2,100,0,320,3623431,38184988,1338.5,browsing,0.0
5.2,81.8,100,0,319,734160,25523997,1441.7,browsing,0.0
7.6,81.5,100,0,317,916518,32267205,1441.8,browsing,0.0
10.3,80.7,100,0,318,497082,20184156,1466.7,browsing,0.0
11.8,80.2,100,0,317,620157,22110971,1455.4,browsing,0.0
13.6,80.4,100,0,314,783070,26583770,1453.5,browsing,0.0
7.7,80.0,100,0,314,615324,21982411,1430.2,browsing,0.0
7.1,80.6,94,0,314,622104,25217253,1434.6,browsing,5.778473706197459
10.5,79.9,94,0,314,549521,20397970,1460.6,browsing,0.0
10.8,80.3,93,0,315,664097,27156632,1438.8,browsing,0.961567414602284
10.2,79.9,93,0,313,584516,24220090,1461.7,browsing,0.0
6.0,79.8,92,0,313,612947,23980961,1448.0,browsing,0.9615271483984483
7.7,80.4,92,0,313,510313,17130005,1411.3,browsing,0.0
23.3,81.7,91,0,314,2801048,51788980,1397.2,browsing,0.9639220852108562
21.1,76.7,91,0,315,703032,2216405,1426.5,browsing,0.0
16.3,79.1,90,0,315,711596,16635067,1434.6,browsing,0.9608588951930046
9.0,79.6,90,0,314,683712,29945125,1404.5,browsing,0.0
12.0,79.3,89,0,315,193048,5712975,1442.3,browsing,0.9637257132270212
30.6,79.5,89,0,318,686247,11205840,1400.0,browsing,0.0
14.5,77.2,88,0,315,1068773,29602196,1441.7,browsing,0.9595225995861197
12.6,76.9,88,0,316,578994,24133738,1455.4,browsing,0.0
11.4,77.8,87,0,314,1504120,58851978,1442.9,browsing,0.9619154683369106
7.6,78.3,87,0,318,899508,44926435,1439.8,browsing,0.0
16.3,77.9,86,0,317,674937,27406079,1456.1,browsing,0.9636527410366486
15.6,73.3,86,0,314,630034,25165825,1437.8,browsing,0.0
4.9,73.8,85,0,313,540823,21358534,1450.5,browsing,0.9578964601919334
9.9,77.5,85,0,313,993291,33315771,1424.6,browsing,0.0
10.9,78.1,84,0,313,637608,28204787,1403.5,browsing,0.9634015007125665
14.0,78.9,84,0,314,564660,25480762,1463.8,browsing,0.0
8.6,80.5,83,0,314,586186,17296910,1419.4,browsing,0.9628871996960675
19.7,81.3,83,0,313,555466,18905238,1403.0,browsing,0.0
17.3,81.5,82,0,312,583220,24114450,1443.9,browsing,0.9635259719541457
11.2,82.1,82,0,312,992858,22026013,1390.9,browsing,0.0
29.2,90.0,81,0,327,2671855,60921007,1351.1,browsing,0.9608113699866687
20.4,83.3,80,0,332,1052327,16204809,1156.5,browsing,0.9616073902280098
29.8,79.9,79,0,335,1202769,21354607,1237.0,browsing,0.9591504253686185
13.6,78.6,78,0,331,952383,781369,1221.8,browsing,0.9610009265441093
32.8,78.2,77,0,330,952422,658478,1248.7,browsing,0.9604759255231698
11.3,66.7,76,0,313,896990,781180,1239.4,gaming,0.9629978406671543
16.6,77.8,75,0,314,419679,6322795,1345.6,gaming,0.9586722040360671
100.0,78.9,74,0,354,977112,36120902,831.8,gaming,0.9202841789840255
56.0,86.0,72,0,344,1360494,37810336,756.5,gaming,1.8857541086081921
29.4,77.2,70,0,329,6648571,36193817,841.7,gaming,1.9156366257623572
28.6,75.6,69,0,327,11248144,5721573,1186.5,gaming,0.9591986967430224
26.4,75.3,67,0,326,107628,6751705,1199.9,gaming,1.9202181693189813
23.4,75.2,65,0,319,130564,5673463,1196.7,gaming,1.918626820200427
27.1,75.2,64,0,318,137299,7292729,1156.3,gaming,0.960064765111184
18.2,75.7,62,0,318,124179,8058502,1250.1,gaming,1.9215424368563672
30.7,73.6,60,0,318,101434,6217168,1176.7,gaming,1.9204863194383888
96.8,78.0,59,0,317,107326,4215150,1179.2,gaming,0.9213526743914681
76.3,84.1,57,0,319,180608,5891977,732.7,gaming,1.892500497343224
29.9,83.9,54,0,320,146186,9598995,1080.0,gaming,2.8787414730538257
45.3,81.3,52,0,319,83011,5154916,1103.6,gaming,1.919218465225432
31.8,83.9,50,0,319,57566,3403817,1081.2,gaming,1.9112311669439328
33.2,84.3,48,0,318,63551,4586436,1078.5,gaming,1.9131184906616514
23.9,84.5,46,0,320,98859,5259484,913.7,gaming,1.9067831336980092
33.7,85.1,44,0,320,44705,1853879,1123.1,gaming,1.9142673773446048
36.2,84.6,42,0,319,42015,2077306,1083.4,gaming,1.9144089143736436
33.0,85.0,40,0,320,37724,2704695,1137.7,gaming,1.913209872604503
30.2,85.6,37,0,317,57220,3207710,1045.5,gaming,2.875355801966099
21.7,85.6,35,0,319,74920,4087709,1175.2,gaming,1.9162673561622405
29.9,86.1,33,0,319,45513,2498608,1153.5,gaming,1.9142162692649782
45.7,85.3,31,0,319,43345,4221815,989.4,gaming,1.9029549840018258
60.3,84.6,29,0,320,69860,4921364,620.3,gaming,1.7440176840018258
84.2,62.7,25,0,263,183314,109540,0,browsing,0.0
22.3,95.7,24,0,285,5296174,67052910,1067.1,coding,0.9598143303501433
9.9,78.2,23,0,282,2296208,111598625,1284.8,coding,0.9629334603580756
24.1,78.6,22,0,280,1000554,65889097,1409.3,coding,0.9663282735407486
19.0,76.7,21,0,291,524632,622963,1306.5,coding,0.9630590084609416
9.4,74.3,21,0,293,401021,855885,1420.6,coding,0.0
18.8,74.8,20,0,296,534825,1239438,1385.5,coding,0.9591831480335893
9.4,74.5,20,0,291,549157,40807204,1440.1,coding,0.0
5.3,73.7,19,0,288,253439,712734,1460.1,coding,0.9573503594830852
8.8,73.7,19,0,288,289620,768059,1455.4,coding,0.0
8.5,70.9,18,0,288,363499,996484,1422.8,coding,0.9562298403217988
7.5,70.5,18,0,287,238222,793759,1473.7,coding,0.0
4.6,70.1,17,0,289,527248,40369596,1448.7,coding,0.9586604192217886
6.8,70.5,17,0,289,295730,558196,1454.0,coding,0.0
16.5,72.0,16,0,295,418380,836898,1440.6,coding,0.965094427265508
37.2,71.2,16,0,292,719812,2275954,1419.8,coding,0.0
19.3,72.0,15,0,287,436714,5994228,1384.9,coding,0.9651925269566781
6.0,70.8,15,0,285,189813,1919435,1396.2,coding,0.0
15.1,71.7,14,0,288,104477,438224,1433.7,coding,0.9610405100960387
13.6,71.3,14,0,282,74325,317598,1445.8,browsing,0.0
8.0,69.3,14,0,280,90154,585849,1458.6,browsing,0.0
3.2,69.6,13,0,281,47888,428170,1508.3,browsing,0.9597780286310509
11.8,73.2,13,0,295,234388,721524,1376.3,browsing,0.0
8.0,78.2,12,0,296,8905035,3687429,1405.9,browsing,0.9564956284868069
6.7,80.5,89,0,313,0,1511,0,browsing,0.0
2.3,79.8,88,0,313,41814,68377,1498.3,browsing,3.3702163862523724
3.4,79.7,88,0,312,4722,62674,1525.7,browsing,0.0
